
Name,Phone Number,Address
PUR VAPE AND SMOKE SHOP,(646) 760-9307,346 9th Ave - 10001
Herald Smoke Shop,(212) 643-1858,39 W 32nd St - 10001
SMOKE HUT SMOKE & VAPE SHOP,(917) 578-6100,31 W 31st St - 10001
E-Smoke & Convenience,(212) 279-8434,2 W 33rd St - 10001
Skylight Smoke shop best smoke in nyc,(646) 724-5195,249 W 26th St - 10001
Chelsea Vibez smokeshop,(917) 965-2122,101 W 25th St - 10001
Ally's Smokes And Magazines Inc,(212) 804-6273,158 W 30th St - 10001
NYC GIFT & SMOKE ACCESSORIES,(212) 730-0169,827 6th Ave - 10001
Cali Cloudz,(646) 560-0901,153 W 27th St - 10001
Midtown Smoke Shop & Vape,(646) 688-5779,454 9th Ave - 10001
Hookah Plus Inc,(646) 666-5109,11 W 27th St - 10001
Sky convenience shop,(917) 261-7681,51w W 29th St - 10001
Gee Vape & Smoke Shop,(212) 780-9999,88 Delancey St - 10002
N & N Delancey Smoke Shop,(212) 966-6020,61 Delancey St - 10002
Dubai smoke shop,not listed,161 Rivington St - 10002
East Side Cigars & Smoke Shop,(212) 228-2882,279 E Houston St - 10002
Cloud9 smoke shop,(646) 559-2292,101 Ludlow St - 10002
Rivington Tobacco and Vape,(917) 262-0259,40 Rivington St - 10002
King's Smoke Shop,(646) 490-6303,319 E Houston St - 10002
Buzz Smoke Shop,(347) 217-4955,57 Clinton St - 10002
Orchard tobacco & vape corp,not listed,250 Broome St - 10002
clinton Vibez smoke shop,(917) 262-0093,201 Clinton St - 10002
107 Tobacco shop,(718) 304-3908,107 Clinton St # 1 - 10002
Mamba Smoke Shop,(347) 640-0591,182 Allen St - 10002
East Village Smoke Shop,(646) 912-9092,177 1st Ave. - 10003
Ali Baba Smoke Shop,(646) 682-9251,328 E 14th St - 10003
Beer & Smoke Shop,(646) 590-2070,149 1st Ave. - 10003
2nd Avenue Smoke Shop,(212) 253-0848,68 2nd Ave - 10003
Empire Smoke Shop,(646) 429-9772,57 1st Ave. - 10003
Zee Smoke & Convenience inc,(646) 863-2286,246 E 14th St - 10003
Vape N Smoke,(212) 353-3150,150 2nd Ave - 10003
One's Convenience & Smoke Shop,(212) 533-1074,315 1st Ave. - 10003
Village Smoke Shop,not listed,111 1st Ave. - 10003
E Smoke Shop & Convenience,(917) 475-1086,227 1st Ave. - 10003
I Smoke Shop 3rd Ave,(917) 224-6655,110 3rd Ave - 10003
I Smoke & Vape,(917) 224-6655,825 Broadway - 10003
Stone smoke shop,not listed,15 Stone St - 10004
Bk smoke & vape shop,(212) 495-0758,90 William St - 10004
NYC Smoke Shop & Vape Shop,(646) 964-5469,12 John St - 10004
Water convenience and smoke shop,(516) 240-4716,79 Pine St - 10004
Discount Smoke Shop,not listed,84 Nassau St - 10004
Fulton Smoke Shop And Convenience Store,not listed,50 Fulton St - 10004
Barclay Rex Pipe Shop,(212) 962-3355,126 Pearl St - 10004
Millennium Smoke Shop,(646) 726-4513,24 Maiden Ln - 10004
Rz smoke exotic,(929) 613-1845,18 Maiden Ln - 10004
Big city smoke shop,(917) 293-9823,110 Church St - 10004
New Jubilee News II Inc,(646) 918-7062,135 William St Front 1 - 10004
Tobacco & Smoke,(212) 233-6334,23 St James Pl - 10004
Water convenience and smoke shop,(516) 240-4716,79 Pine St - 10005
Barclay Rex Pipe Shop,(212) 962-3355,126 Pearl St - 10005
Bk smoke & vape shop,(212) 495-0758,90 William St - 10005
NYC convenience,(646) 998-4204,40 Exchange Pl - 10005
Millennium Smoke Shop,(646) 726-4513,24 Maiden Ln - 10005
Stone smoke shop,not listed,15 Stone St - 10005
New Jubilee News II Inc,(646) 918-7062,135 William St Front 1 - 10005
NYC Smoke Shop & Vape Shop,(646) 964-5469,12 John St - 10005
clinton Vibez smoke shop,(917) 262-0093,201 Clinton St - 10005
Gee Vape & Smoke Shop,(212) 780-9999,88 Delancey St - 10005
Discount Smoke Shop,not listed,84 Nassau St - 10005
Tobacco & Smoke,(212) 233-6334,23 St James Pl - 10005
Smoke Shop,16 Maiden Ln,16 Maiden Ln - 10006
Bk smoke & vape shop,(212) 495-0758,90 William St - 10006
Big city smoke shop,(917) 293-9823,110 Church St - 10006
Stone smoke shop,not listed,15 Stone St - 10006
Rz smoke exotic,(929) 613-1845,18 Maiden Ln - 10006
Fidi smokeshop,(845) 669-7133,101 Greenwich St - 10006
NYC Smoke Shop & Vape Shop,(646) 964-5469,12 John St - 10006
Millennium Smoke Shop,(646) 726-4513,24 Maiden Ln - 10006
Fulton Smoke Shop And Convenience Store,not listed,50 Fulton St - 10006
Discount Smoke Shop,not listed,84 Nassau St - 10006
Water convenience and smoke shop,(516) 240-4716,79 Pine St - 10006
Jubilee Vape & Smoke Inc,(347) 524-7101,165 Church St - 10006
Jubilee Vape & Smoke Inc,(347) 524-7101,165 Church St - 10007
Big city smoke shop,(917) 293-9823,110 Church St - 10007
Tribeca Vibez smokeshop,158 Church St,158 Church St - 10007
Bk smoke & vape shop,(212) 495-0758,90 William St - 10007
Lucky one stop shop ( Smoke,Beer & lotto),(347) 393-5323,160 Church St - 10007
Smoke Shop,16 Maiden Ln,16 Maiden Ln - 10007
Canal Smoke , Gift & Convienence,(646) 864-0174,342 Canal St - 10007
Dubai smoke shop,not listed,161 Rivington St - 10007
