Name,Phone Number,Address
3 ave vape smoke shop,(646) 220-6707,162 E 23rd St - 10010
333 smoke shop,(929) 299-8766,333 Park Ave S - 10010
Play land smoke shop,(929) 304-9757,115 W 23rd St - 10010
PUR VAPE AND SMOKE SHOP,(646) 760-9307,346 9th Ave - 10010
Ali Baba Smoke Shop,(646) 682-9251,328 E 14th St - 10010
One's Convenience & Smoke Shop,(212) 533-1074,315 1st Ave. - 10010
Topia Newstand,(646) 519-0374,311 E 23rd St NE corner of E23rd st &, 2nd Ave - 10010
I Smoke & Vape,(917) 224-6655,825 Broadway - 10010
9th Ave Tobacco & Smoke Shop,(212) 244-2250,334 9th Ave - 10010
Foreign Smokers (Smoke Shop),(929) 338-9659,110 9th Ave - 10010
East Village Smoke Shop,(646) 912-9092,177 1st Ave. - 10010
New York Smoke Shop,(212) 465-0660,531 9th Ave - 10010
7th Ave Smoke Shop,(646) 652-8175,200 7th Ave - 10011
Play land smoke shop,(929) 304-9757,115 W 23rd St - 10011
Foreign Smokers (Smoke Shop),(929) 338-9659,110 9th Ave - 10011
New Jubilee News II Inc,(646) 707-0993,219 W 14th St #1 - 10011
Sam’s Smoke Shop,(929) 204-3010,172 9th Ave - 10011
Smoke Gift & Convenience,(646) 360-3075,364 W 23rd St - 10011
37- Seventh Convenience & Smoke,(929) 441-2644,37 7th Ave - 10011
Smoking N Vaping,(212) 430-6828,165 9th Ave - 10011
Higher Standards,(212) 472-0760,75 9th Ave - 10011
6th Avenue Smoke Shop,(646) 877-8928,317 6th Ave - 10011
Rainbow smoke shop house,378 6th Ave,378 6th Ave - 10011
14th St Smoke Shop,(646) 789-1239,304 W 14th St - 10011
Classic Smoke Shop,(212) 228-1514,206 Thompson St - 10012
NYC Smokes & More Inc,(646) 370-4699,104 MacDougal St - 10012
LUSH SMOKE SHOP VILLAGE,(646) 590-7375,110 MacDougal St - 10012
Cool breez,(551) 946-0410,59 Thompson St - 10012
Fabulous Smoke & Vape,(212) 533-3310,121 MacDougal St - 10012
Cigarillos,(212) 334-2250,191 Spring St # A - 10012
AKS SMOKE & VAPE SHOP ( e cigarettes / tobacco),(212) 598-5851,110 W Houston St - 10012
Canal express inc,(917) 675-7000,383 Canal St - 10012
6th Avenue Smoke Shop,(646) 877-8928,317 6th Ave - 10012
Sunflower Glass Company Smoke Shop,(917) 409-1974,220 Thompson St - 10012
The Smoking Shop,(212) 929-1151,45 Christopher St - 10012
Canal Smoke & News Inc,not listed,383 Canal St #1679 - 10012
Canal Smoke , Gift & Convienence,(646) 864-0174,342 Canal St - 10013
Canal express inc,(917) 675-7000,383 Canal St - 10013
